,amulet_henry.txt,cheesebook.txt,mince_dan.txt,mince_dan2.txt,poorgent.txt,poorgent2.txt,punch.txt,punch_2.txt,punch_rail.txt
to,1637.0,1162.0,1448.0,2306.0,960.0,1564.0,408.0,356.0,291.0
the,3409.0,2474.0,2510.0,4547.0,1645.0,3187.0,882.0,640.0,645.0
of,1688.0,1997.0,1742.0,2587.0,855.0,1550.0,417.0,293.0,328.0
by,320.0,300.0,242.0,308.0,174.0,300.0,68.0,77.0,54.0
had,311.0,42.0,117.0,209.0,169.0,291.0,39.0,17.0,22.0
not,459.0,130.0,267.0,274.0,192.0,445.0,73.0,55.0,54.0
been,105.0,82.0,95.0,231.0,79.0,98.0,32.0,19.0,26.0
and,1638.0,2330.0,1384.0,2358.0,1082.0,1533.0,418.0,264.0,287.0
only,76.0,104.0,73.0,114.0,37.0,73.0,15.0,16.0,15.0
was,501.0,178.0,316.0,764.0,327.0,457.0,83.0,45.0,54.0
her,261.0,16.0,62.0,386.0,368.0,215.0,23.0,25.0,18.0
as,401.0,515.0,279.0,650.0,270.0,375.0,144.0,85.0,81.0
all,152.0,170.0,152.0,233.0,120.0,139.0,83.0,55.0,61.0
in,943.0,1581.0,775.0,2019.0,550.0,899.0,251.0,192.0,193.0
an,224.0,124.0,187.0,401.0,85.0,210.0,50.0,42.0,31.0
for,425.0,513.0,370.0,918.0,271.0,401.0,130.0,134.0,86.0
some,100.0,93.0,151.0,118.0,49.0,94.0,21.0,18.0,12.0
but,270.0,191.0,164.0,233.0,173.0,261.0,53.0,42.0,40.0
a,1198.0,1464.0,1372.0,2530.0,714.0,1132.0,478.0,395.0,320.0
this,236.0,214.0,147.0,189.0,102.0,225.0,38.0,54.0,25.0
which,210.0,127.0,149.0,185.0,124.0,181.0,23.0,33.0,17.0
out,51.0,93.0,106.0,198.0,28.0,48.0,35.0,46.0,29.0
were,218.0,38.0,109.0,151.0,102.0,202.0,18.0,10.0,14.0
most,30.0,63.0,40.0,191.0,13.0,24.0,11.0,5.0,6.0
on,252.0,299.0,317.0,755.0,226.0,238.0,146.0,80.0,105.0
their,72.0,84.0,84.0,150.0,94.0,68.0,34.0,18.0,24.0
between,20.0,31.0,8.0,31.0,12.0,17.0,2.0,4.0,2.0
with,449.0,996.0,335.0,654.0,382.0,417.0,123.0,103.0,95.0
few,54.0,21.0,24.0,57.0,20.0,53.0,7.0,2.0,4.0
before,83.0,41.0,38.0,86.0,30.0,78.0,7.0,8.0,6.0
so,144.0,109.0,155.0,178.0,101.0,128.0,40.0,29.0,30.0
its,55.0,170.0,79.0,39.0,53.0,53.0,9.0,4.0,7.0
from,310.0,407.0,151.0,324.0,179.0,289.0,58.0,41.0,44.0
own,48.0,47.0,47.0,77.0,17.0,46.0,7.0,4.0,6.0
other,46.0,80.0,57.0,128.0,28.0,40.0,17.0,7.0,12.0
they,78.0,68.0,117.0,259.0,55.0,73.0,59.0,37.0,41.0
such,63.0,75.0,43.0,64.0,15.0,57.0,13.0,9.0,11.0
into,85.0,147.0,103.0,133.0,72.0,81.0,25.0,32.0,16.0
very,54.0,79.0,73.0,170.0,41.0,48.0,27.0,21.0,26.0
through,46.0,30.0,41.0,66.0,32.0,44.0,10.0,8.0,6.0
themselves,5.0,1.0,8.0,8.0,6.0,4.0,6.0,3.0,6.0
where,50.0,70.0,68.0,84.0,39.0,48.0,11.0,31.0,8.0
we,55.0,99.0,424.0,130.0,84.0,53.0,65.0,30.0,46.0
each,26.0,42.0,13.0,64.0,12.0,24.0,3.0,2.0,2.0
whom,33.0,1.0,12.0,13.0,14.0,30.0,1.0,7.0,1.0
his,1039.0,63.0,330.0,1033.0,598.0,1003.0,76.0,49.0,58.0
at,282.0,153.0,227.0,548.0,199.0,271.0,115.0,86.0,90.0
these,46.0,45.0,53.0,46.0,33.0,43.0,17.0,13.0,14.0
it,387.0,578.0,458.0,556.0,238.0,370.0,135.0,117.0,88.0
that,535.0,328.0,728.0,935.0,439.0,505.0,126.0,103.0,83.0
if,149.0,35.0,97.0,116.0,109.0,143.0,36.0,114.0,23.0
who,145.0,47.0,147.0,307.0,71.0,138.0,33.0,32.0,27.0
have,271.0,109.0,339.0,493.0,207.0,265.0,67.0,52.0,56.0
or,102.0,638.0,222.0,213.0,74.0,96.0,76.0,38.0,52.0
did,50.0,4.0,33.0,71.0,44.0,47.0,8.0,13.0,5.0
himself,76.0,6.0,36.0,41.0,39.0,74.0,3.0,5.0,3.0
because,14.0,42.0,50.0,170.0,17.0,13.0,4.0,5.0,4.0
he,768.0,46.0,347.0,1027.0,382.0,743.0,60.0,47.0,34.0
them,58.0,74.0,95.0,125.0,38.0,53.0,24.0,14.0,20.0
just,21.0,45.0,74.0,114.0,10.0,20.0,15.0,31.0,10.0
she,108.0,4.0,70.0,349.0,162.0,95.0,16.0,21.0,13.0
be,322.0,180.0,315.0,370.0,173.0,305.0,124.0,77.0,89.0
same,25.0,72.0,27.0,73.0,9.0,21.0,8.0,4.0,7.0
over,34.0,113.0,67.0,85.0,49.0,33.0,13.0,11.0,11.0
no,135.0,74.0,115.0,141.0,71.0,132.0,37.0,35.0,24.0
more,75.0,112.0,69.0,210.0,71.0,73.0,23.0,16.0,18.0
being,22.0,55.0,17.0,56.0,6.0,19.0,10.0,8.0,9.0
is,493.0,968.0,777.0,991.0,259.0,475.0,168.0,172.0,124.0
there,71.0,68.0,98.0,127.0,36.0,69.0,34.0,35.0,26.0
how,33.0,12.0,70.0,63.0,23.0,31.0,10.0,15.0,8.0
ourselves,1.0,1.0,14.0,0,1.0,0,1.0,2.0,1.0
has,126.0,138.0,164.0,557.0,64.0,118.0,20.0,33.0,14.0
can,52.0,89.0,86.0,174.0,40.0,51.0,24.0,37.0,15.0
you,645.0,94.0,219.0,317.0,328.0,629.0,145.0,149.0,102.0
will,424.0,49.0,182.0,151.0,143.0,415.0,38.0,48.0,33.0
my,548.0,20.0,178.0,316.0,357.0,537.0,59.0,159.0,44.0
him,312.0,13.0,99.0,150.0,119.0,300.0,21.0,21.0,13.0
are,122.0,296.0,254.0,300.0,105.0,120.0,77.0,51.0,67.0
me,359.0,13.0,110.0,218.0,178.0,356.0,54.0,58.0,32.0
when,75.0,143.0,141.0,214.0,45.0,71.0,49.0,31.0,38.0
our,61.0,61.0,218.0,40.0,94.0,59.0,51.0,13.0,41.0
should,40.0,25.0,44.0,44.0,29.0,37.0,18.0,13.0,13.0
your,288.0,55.0,80.0,67.0,214.0,277.0,52.0,46.0,38.0
yours,7.0,0,1.0,0,1.0,6.0,2.0,1.0,2.0
during,9.0,12.0,11.0,45.0,10.0,8.0,4.0,4.0,2.0
yourself,17.0,1.0,8.0,6.0,10.0,16.0,3.0,4.0,1.0
am,104.0,2.0,36.0,29.0,38.0,102.0,8.0,12.0,6.0
do,120.0,31.0,85.0,218.0,62.0,117.0,33.0,29.0,25.0
too,36.0,31.0,43.0,50.0,22.0,34.0,11.0,12.0,11.0
then,56.0,69.0,41.0,64.0,27.0,54.0,18.0,9.0,9.0
what,105.0,21.0,133.0,165.0,74.0,104.0,31.0,35.0,19.0
any,52.0,100.0,78.0,91.0,37.0,51.0,21.0,28.0,17.0
while,20.0,40.0,37.0,64.0,51.0,19.0,6.0,5.0,4.0
myself,28.0,1.0,10.0,35.0,9.0,28.0,3.0,4.0,3.0
now,37.0,23.0,36.0,83.0,21.0,37.0,12.0,15.0,8.0
both,22.0,57.0,9.0,59.0,17.0,22.0,3.0,2.0,3.0
against,34.0,9.0,17.0,11.0,20.0,34.0,6.0,3.0,5.0
than,44.0,91.0,80.0,168.0,52.0,44.0,21.0,12.0,17.0
does,22.0,10.0,49.0,51.0,8.0,22.0,6.0,8.0,4.0
why,18.0,3.0,15.0,35.0,13.0,18.0,4.0,14.0,2.0
under,39.0,38.0,22.0,28.0,14.0,38.0,7.0,7.0,5.0
up,40.0,120.0,105.0,220.0,36.0,40.0,37.0,19.0,25.0
above,16.0,15.0,14.0,5.0,8.0,16.0,5.0,2.0,4.0
until,38.0,117.0,27.0,50.0,7.0,38.0,3.0,1.0,1.0
off,7.0,26.0,34.0,42.0,12.0,7.0,17.0,14.0,11.0
down,44.0,42.0,72.0,66.0,23.0,44.0,27.0,18.0,18.0
having,22.0,2.0,18.0,17.0,3.0,22.0,3.0,6.0,3.0
herself,9.0,0,6.0,12.0,12.0,9.0,0,4.0,0
about,61.0,88.0,104.0,351.0,67.0,61.0,31.0,20.0,23.0
nor,19.0,2.0,15.0,9.0,16.0,19.0,2.0,0,2.0
once,19.0,15.0,27.0,24.0,21.0,19.0,3.0,5.0,3.0
after,33.0,79.0,40.0,101.0,36.0,33.0,15.0,11.0,9.0
those,20.0,26.0,59.0,43.0,15.0,19.0,6.0,7.0,4.0
itself,6.0,13.0,16.0,15.0,7.0,6.0,1.0,0,1.0
theirs,1.0,0,0,2.0,0,1.0,0,0,0
further,1.0,10.0,4.0,3.0,4.0,1.0,1.0,2.0,1.0
here,31.0,20.0,17.0,45.0,12.0,31.0,13.0,6.0,11.0
below,2.0,4.0,1.0,3.0,2.0,2.0,1.0,0,1.0
again,24.0,11.0,22.0,15.0,23.0,22.0,4.0,5.0,3.0
won,2.0,2.0,1.0,38.0,1.0,2.0,1.0,1.0,1.0
don't,5.0,9.0,36.0,172.0,15.0,5.0,31.0,45.0,26.0
doing,6.0,1.0,16.0,67.0,0,6.0,3.0,3.0,1.0
ours,1.0,2.0,2.0,0,1.0,1.0,0,0,0
haven't,0,2.0,4.0,4.0,1.0,0,2.0,4.0,2.0
didn't,0,4.0,11.0,58.0,0,0,6.0,5.0,6.0
it's,0,45.0,10.0,119.0,2.0,0,13.0,14.0,8.0
you'll,0,5.0,2.0,9.0,0,0,2.0,9.0,1.0
you're,0,1.0,3.0,20.0,0,0,3.0,10.0,3.0
doesn't,0,7.0,16.0,40.0,0,0,4.0,1.0,4.0
hasn't,0,1.0,0,3.0,1.0,0,0,0,0
wasn't,0,4.0,1.0,16.0,1.0,0,3.0,2.0,3.0
couldn't,0,5.0,3.0,14.0,0,0,2.0,3.0,2.0
wouldn't,0,1.0,12.0,17.0,1.0,0,2.0,6.0,2.0
you've,0,1.0,2.0,10.0,0,0,5.0,5.0,5.0
isn't,0,9.0,10.0,14.0,1.0,0,12.0,4.0,11.0
weren't,0,1.0,0,7.0,0,0,0,0,0
won't,0,7.0,12.0,7.0,2.0,0,3.0,5.0,3.0
shouldn't,0,1.0,1.0,5.0,0,0,0,1.0,0
hadn't,0,1.0,0,1.0,0,0,1.0,0,0
hers,0,1.0,1.0,2.0,2.0,0,1.0,0,1.0
d,0,1.0,0,0,0,0,0,0,0
i,0,1.0,0,0,0,0,0,0,0
ain,0,1.0,0,0,0,0,0,0,0
haven,0,0,1.0,0,0,0,0,0,0
mustn't,0,0,3.0,0,0,0,0,1.0,0
aren't,0,0,1.0,3.0,0,0,0,0,0
she's,0,0,0,19.0,0,0,0,2.0,0
you'd,0,0,0,3.0,0,0,8.0,1.0,4.0
ma,0,0,0,0,0,0,1.0,0,0
that'll,0,0,0,0,0,0,1.0,0,0
shan't,0,0,0,0,0,0,1.0,2.0,1.0
needn't,0,0,0,0,0,0,1.0,0,1.0
